"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"태풍","['액션', '모험', '전쟁', '스릴러']","한국",124,"2005.12.14","15세 관람가","곽경택","['장동건', '이정재', '이미연']",NA,5.67,6.04,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"오직 그대만","['드라마']","한국",105,"2011.10.20","15세 관람가","송일곤","['소지섭', '한효주']",NA,5.25,9.11,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"감바의 대모험","['애니메이션']","일본",90,"2016.11.10","전체 관람가","카와무라 토모히로","['카지 유우키', '칸다 사야카', '타카기 와타루']",8.86,5,8.59,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"사랑따윈 필요없어","['드라마', '멜로/로맨스']","한국",119,"2006.11.09","15세 관람가","이철하","['김주혁', '문근영']",NA,4,6.3,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"엘리게이터","['공포', 'SF']","미국",88,"1981.06.20","청소년 관람불가","루이스 티그","['로버트 포스터', '로빈 리커', '마이클 V. 가조']",NA,7.97,NA,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"하얀 리본","['드라마', '미스터리']","오스트리아",142,"2010.07.01","15세 관람가","미카엘 하네케 ","['크리스티안 프리에델', '에른스트 야코비']",5,8.64,7.9,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"...ing","['멜로/로맨스', '드라마']","한국",110,"2003.11.28","12세 관람가","이언희","['임수정', '김래원', '이미숙']",NA,8.88,NA,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"하이힐","['느와르', '액션']","한국",125,"2014.06.18","청소년 관람불가","장진","['차승원', '오정세', '이솜']",7.75,6.15,7.74,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"탑 건","['드라마', '액션']","미국",110,"1987.12.19","15세 관람가","토니 스콧","['톰 크루즈', '켈리 맥길리스']",NA,8.76,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"악마를 보았다","['범죄', '스릴러']","한국",144,"2010.08.12","청소년 관람불가","김지운","['이병헌', '최민식']",NA,6.67,7.79,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"뉴 문","['판타지', '멜로/로맨스', '드라마', '스릴러']","미국",130,"2009.12.02","12세 관람가","크리스 웨이츠","['크리스틴 스튜어트', '로버트 패틴슨']",NA,5.13,6.6,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"내겐 너무 가벼운 그녀","['멜로/로맨스', '코미디']","미국",114,"2002.02.22","15세 관람가","바비 패럴리","['기네스 팰트로우', '잭 블랙']",NA,8.75,NA,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"K-19 위도우메이커","['드라마', '스릴러']","독일",138,"2002.10.03","12세 관람가","캐스린 비글로우","['해리슨 포드', '리암 니슨']",NA,9.06,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"신기전","['드라마', '액션', '전쟁']","한국",134,"2008.09.04","15세 관람가","김유진","['정재영', '한은정', '허준호']",NA,5.5,8.3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"더 웨이브","['액션', '드라마', '스릴러']","노르웨이",104,"2016.07.13","12세 관람가","로아 우다우그","['크리스토퍼 요너', '아네 달 토르프', '조나스 호프 오프테브로']",7.71,6.63,6.58,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"피아니스트","['드라마']","프랑스",130,"2016.06.02","청소년 관람불가","미카엘 하네케","['이자벨 위페르', '브느와 마지멜']",8.3,8.75,8.13,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"스모킹 에이스","['액션']","영국",108,"2007.03.08","청소년 관람불가","조 카나한","['벤 애플렉', '제레미 피번', '라이언 레이놀즈']",NA,4,6.96,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"불가사리","['SF', '액션']","북한",95,"2000.07.22","전체 관람가","정건조","['장선희', '함기섭', '리종국']",NA,6.74,NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"그라운드의 이방인","['다큐멘터리']","한국",103,"2015.03.19","전체 관람가","김명준","['권해효']",9.05,6.94,8.71,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"마유미","['드라마', '범죄', '스릴러']","한국",110,"1990.06.09","청소년 관람불가","신상옥","['김서라', '이학재', '강신성일']",NA,8.24,NA,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"어브덕션","['액션', '드라마', '미스터리', '스릴러']","미국",105,"2011.09.29","15세 관람가","존 싱글톤","['테일러 로트너', '시고니 위버', '릴리 콜린스']",NA,4.58,6.41,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0"
"시간위의 집","['미스터리', '스릴러']","한국",100,"2017.04.05","15세 관람가","임대웅","['김윤진', '택연', '조재윤']",9.24,4.6,8.45,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"영화는 영화다","['액션', '범죄', '드라마', '느와르']","한국",112,"2008.09.11","청소년 관람불가","장훈","['소지섭', '강지환']",NA,6.2,8.86,"0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
